,ACIW
% Above Low,0.062000000000000006
% Held by Institutions,0.985
52-Wk Range,['19.68 - 35.87']
Annual Dividend $,
Annual Dividend %,
Ask,23.79
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,1.1
Bid,20.0
Bid Size,1200.0
Closing Price,20.9
Day Change $,0.26
Day Change %,0.0126
Day High,21.22
Day Low,20.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.38
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),49.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.17
Prev Close,20.64
Shares Outstanding,112.4M
Short Interest,0.0246
Today's Open,20.59
Volume,403026.0
Volume 10-day Avg,1126819.0
Volume Past Day,(Light)
