,SPNE
Price/Earnings (TTM),
Price/Sales (TTM),1.17499
Price/Book (MRQ),0.96903
Price/Cash Flow (TTM),
5yr Low,4.02
5yr High,22.97
5yr Avg Return,0.03573333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.08240030000000001
Dividend Growth 5yr,
Short Int Current Month,396437.0
Short Int Prev Month,392411.0
Short Int Pct of Float,0.0117109
Days to Cover,1.4713
Float,33.9854
Shares Outstanding,37.75516
Institutions Holding Shares,145.0
% Held by Institutions,0.704783
FCF Growth 5yr,0.1697385209199358
