,SPNE
% Above Low,0.2947
% Held by Institutions,0.7048000000000001
52-Wk Range,['5.48 - 14.37']
Annual Dividend $,
Annual Dividend %,
Ask,7.08
Ask Size,2800.0
B/A Ratio,0.10714285714285714
B/A Size,300x2800
Beta,1.4
Bid,7.05
Bid Size,300.0
Day Change $,-0.055
Day Change %,-0.0077
Day High,7.19
Day Low,6.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.76
Ex-dividend Date,No dividend
Historical Volatility,0.506
Last (size),1.0
Last (time),2:52p ET 11/28/22
Market Cap,264.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.15
Price,7.1
Shares Outstanding,37.2M
Short Interest,0.011699999999999999
Today's Open,7.09
Volume Past Day,(Heavy Day)
