,SPNE
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.164319248826291
Growth 1yr High Est,-0.26470588235294124
Growth 1yr Consensus Est,-0.21451256558961612
Growth 2yr Low Est,-0.13272142216595445
Growth 2yr High Est,-0.35568627450980395
Growth 2yr Consensus Est,-0.2442038483378792
Growth 5yr Low Est,-0.06636071108297723
Growth 5yr High Est,-0.17784313725490197
Growth 5yr Consensus Est,-0.1221019241689396
Growth 5yr Actual/Est,-0.10263674941006085
Growth 3yr Historic,-0.05325403336067813
