,VSH
Price/Earnings (TTM),8.26239
Price/Sales (TTM),0.91254
Price/Book (MRQ),1.67671
Price/Cash Flow (TTM),5.70619
5yr Low,11.23
5yr High,26.5
5yr Avg Return,-0.004266666666666666
EPS Growth 5yr,0.44593130000000003
Revenue Growth 5yr,0.0687992
Dividend Growth 5yr,0.0901949
Short Int Current Month,6500669.0
Short Int Prev Month,7321351.0
Short Int Pct of Float,0.0504576
Days to Cover,6.14555
Float,140.7826
Shares Outstanding,141.6649
Institutions Holding Shares,383.0
% Held by Institutions,0.956758
FCF Growth 5yr,1.0364412116338093
