,VSH
% Below High,0.0431
% Held by Institutions,0.9568000000000001
52-Wk Range,['16.73 - 22.98']
Annual Dividend $,0.4
Annual Dividend %,0.0178
Ask,23.91
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,18.0
Bid Size,100.0
Closing Price,21.99
Day Change $,-0.46
Day Change %,-0.020499999999999997
Day High,22.42
Day Low,21.85
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.33799999999999997
Last (size),424.0
Last (time),7:00p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.26
Prev Close,22.45
Shares Outstanding,141.7M
Short Interest,0.050499999999999996
Today's Open,22.27
Volume,712038.0
Volume 10-day Avg,810650.0
Volume Past Day,(Below Average)
