,PFSI
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4277148567621586
Growth 1yr High Est,-0.4276649746192893
Growth 1yr Consensus Est,-0.42768991569072395
Growth 2yr Low Est,-0.3617037613263645
Growth 2yr High Est,-0.25984135648924556
Growth 2yr Consensus Est,-0.31077255890780503
Growth 5yr Low Est,0.637398879088121
Growth 5yr High Est,0.5597243963357568
Growth 5yr Consensus Est,0.5985616377119388
Growth 5yr Actual/Est,0.5944409641326583
Growth 3yr Historic,0.747230417170094
