,PFSI
Price/Earnings (TTM),5.51825
Price/Sales (TTM),1.0879
Price/Book (MRQ),0.8466
Price/Cash Flow (TTM),4.51023
5yr Low,13.14
5yr High,71.52
5yr Avg Return,0.2475166666666667
EPS Growth 5yr,0.7674433
Revenue Growth 5yr,0.2117071
Dividend Growth 5yr,
Short Int Current Month,2804276.0
Short Int Prev Month,3617998.0
Short Int Pct of Float,0.0987323
Days to Cover,6.45461
Float,29.02286
Shares Outstanding,50.08141
Institutions Holding Shares,238.0
% Held by Institutions,0.5780270000000001
FCF Growth 5yr,0.34641219929965844
