,PFSI
% Below High,0.1981
% Held by Institutions,0.578
52-Wk Range,['38.53 - 71.52']
Annual Dividend $,0.8
Annual Dividend %,0.0138
Ask,57.57
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,57.35
Bid Size,100.0
Day Change $,-0.44
Day Change %,-0.0076
Day High,57.77
Day Low,57.26
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",10.47
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.408
Last (size),100.0
Last (time),10:38a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.52
Prev Close,57.79
Price,57.35
Shares Outstanding,50.1M
Short Interest,0.0987
Today's Open,57.26
Volume Past Day,(Light)
