,AMSF
Price/Earnings (TTM),29.05524
Price/Sales (TTM),3.75795
Price/Book (MRQ),2.95591
Price/Cash Flow (TTM),27.85226
5yr Low,44.06
5yr High,80.65
5yr Avg Return,-0.01473333333333333
EPS Growth 5yr,-0.0352908
Revenue Growth 5yr,-0.0444907
Dividend Growth 5yr,-0.2181319
Short Int Current Month,160437.0
Short Int Prev Month,204461.0
Short Int Pct of Float,0.0085514
Days to Cover,2.11944
Float,18.76154
Shares Outstanding,19.15587
Institutions Holding Shares,231.0
% Held by Institutions,0.977774
FCF Growth 5yr,0.702167574930502
