,AMSF
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.206896551724138
Growth 2yr High Est,0.032258064516129004
Growth 2yr Consensus Est,-0.0873192436040045
Growth 5yr Low Est,-0.206896551724138
Growth 5yr High Est,0.032258064516129004
Growth 5yr Consensus Est,-0.0873192436040045
Growth 5yr Actual/Est,-0.095515272714081
Growth 3yr Historic,-0.1031393861892583
