,AMSF
% Below High,0.048600000000000004
% Held by Institutions,0.9778
52-Wk Range,['44.06 - 60.49']
Annual Dividend $,1.24
Annual Dividend %,0.0215
Ask,60.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.3
Bid,57.49
Bid Size,200.0
Closing Price,57.55
Day Change $,0.54
Day Change %,0.0095
Day High,58.3
Day Low,57.31
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.98
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.295
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.06
Prev Close,57.01
Shares Outstanding,19.2M
Short Interest,0.0086
Today's Open,57.31
Volume,31505.0
Volume 10-day Avg,73149.0
Volume Past Day,(Light)
