,G
Price/Earnings (TTM),25.34366
Price/Sales (TTM),1.88666
Price/Book (MRQ),4.72249
Price/Cash Flow (TTM),17.73626
5yr Low,19.41
5yr High,54.03
5yr Avg Return,0.08538333333333332
EPS Growth 5yr,0.0832817
Revenue Growth 5yr,0.0936561
Dividend Growth 5yr,
Short Int Current Month,1925378.0
Short Int Prev Month,1456935.0
Short Int Pct of Float,0.011397
Days to Cover,1.43675
Float,169.0472
Shares Outstanding,183.2581
Institutions Holding Shares,480.0
% Held by Institutions,1.003876
FCF Growth 5yr,-2.3964327387672335
