,G
% Above Low,0.18600000000000003
% Held by Institutions,1.0039
52-Wk Range,['37.68 - 54.03']
Annual Dividend $,0.5
Annual Dividend %,0.011200000000000002
Ask,45.09
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.3
Bid,38.5
Bid Size,1000.0
Closing Price,44.69
Day Change $,0.32
Day Change %,0.0072
Day High,44.83
Day Low,44.24
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.273
Last (size),991.0
Last (time),5:00p ET 11/25/22
Market Cap,8.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.34
Prev Close,44.37
Shares Outstanding,183.3M
Short Interest,0.011399999999999999
Today's Open,44.24
Volume,233367.0
Volume 10-day Avg,899945.0
Volume Past Day,(Light)
