,IPAR
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7989417989417991
Growth 1yr High Est,0.7894736842105263
Growth 1yr Consensus Est,0.7942077415761627
Growth 2yr Low Est,0.4435885465297231
Growth 2yr High Est,0.4432662538699691
Growth 2yr Consensus Est,0.4434274001998461
Growth 5yr Low Est,0.22179427326486156
Growth 5yr High Est,0.22163312693498455
Growth 5yr Consensus Est,0.22171370009992306
Growth 5yr Actual/Est,0.3161950665433638
Growth 3yr Historic,0.2343100398053959
