,IPAR
% Below High,0.15410000000000001
% Held by Institutions,0.6046
52-Wk Range,['64.52 - 108.35']
Annual Dividend $,2.0
Annual Dividend %,0.0218
Ask,146.78
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,36.7
Bid Size,200.0
Closing Price,91.66
Day Change $,0.72
Day Change %,0.0079
Day High,92.18
Day Low,90.65
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.22
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.365
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.43
Prev Close,90.94
Shares Outstanding,31.9M
Short Interest,0.0175
Today's Open,90.69
Volume,43248.0
Volume 10-day Avg,109579.0
Volume Past Day,(Light)
