,IPGP
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.11252653927813172
Growth 1yr High Est,-0.07047619047619047
Growth 1yr Consensus Est,-0.0915013648771611
Growth 2yr Low Est,-0.035928341409400766
Growth 2yr High Est,0.01189305230288834
Growth 2yr Consensus Est,-0.012017644553256213
Growth 5yr Low Est,0.16956007664429215
Growth 5yr High Est,0.20651026181894683
Growth 5yr Consensus Est,0.18803516923161948
Growth 5yr Actual/Est,0.14043730431703358
Growth 3yr Historic,0.15598522538821044
