,IPGP
Price/Earnings (TTM),17.88271
Price/Sales (TTM),3.04166
Price/Book (MRQ),1.74547
Price/Cash Flow (TTM),12.23831
5yr Low,79.88
5yr High,264.11
5yr Avg Return,-0.07501666666666668
EPS Growth 5yr,0.0125587
Revenue Growth 5yr,0.0774253
Dividend Growth 5yr,
Short Int Current Month,1442923.0
Short Int Prev Month,1382366.0
Short Int Pct of Float,0.047536800000000004
Days to Cover,4.54279
Float,30.3644
Shares Outstanding,48.71436
Institutions Holding Shares,447.0
% Held by Institutions,0.644063
FCF Growth 5yr,-1.535958232997012
