,IPGP
% Above Low,0.1417
% Held by Institutions,0.6441
52-Wk Range,['79.88 - 176.63']
Annual Dividend $,
Annual Dividend %,
Ask,91.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,90.69
Bid Size,100.0
Closing Price,91.19
Day Change $,-1.2
Day Change %,-0.013000000000000001
Day High,92.89
Day Low,91.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.1
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.88
Prev Close,92.39
Shares Outstanding,48.7M
Short Interest,0.0475
Today's Open,92.25
Volume,65533.0
Volume 10-day Avg,211039.0
Volume Past Day,(Light)
