,AR
Price/Earnings (TTM),5.84457
Price/Sales (TTM),1.50201
Price/Book (MRQ),1.81884
Price/Cash Flow (TTM),3.88527
5yr Low,0.638
5yr High,48.8
5yr Avg Return,0.5023500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.22909310000000002
Dividend Growth 5yr,
Short Int Current Month,20390714.0
Short Int Prev Month,21872180.0
Short Int Pct of Float,0.0772731
Days to Cover,3.36491
Float,263.9867
Shares Outstanding,300.1364
Institutions Holding Shares,520.0
% Held by Institutions,0.769455
FCF Growth 5yr,0.6980503844314638
