,AR
% Below High,0.23629999999999998
% Held by Institutions,0.7695000000000001
52-Wk Range,['15.38 - 48.80']
Annual Dividend $,
Annual Dividend %,
Ask,38.88
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,3.6
Bid,36.75
Bid Size,300.0
Closing Price,37.27
Day Change $,-0.27
Day Change %,-0.0072
Day High,37.99
Day Low,37.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.38
Ex-dividend Date,No dividend
Historical Volatility,0.614
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,11.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.84
Prev Close,37.54
Shares Outstanding,300.1M
Short Interest,0.07730000000000001
Today's Open,37.5
Volume,1723638.0
Volume 10-day Avg,5717715.0
Volume Past Day,(Light)
