,SR
% Below High,0.0698
% Held by Institutions,0.8637
52-Wk Range,['59.60 - 79.24']
Annual Dividend $,2.88
Annual Dividend %,0.038599999999999995
Ask,73.75
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,73.66
Bid Size,100.0
Day Change $,-0.96
Day Change %,-0.0129
Day High,74.12
Day Low,72.75
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.244
Last (size),100.0
Last (time),3:11p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.81
Prev Close,74.67
Price,73.71
Shares Outstanding,52.5M
Short Interest,0.038599999999999995
Today's Open,74.12
Volume Past Day,(Light)
