,SR
Price/Earnings (TTM),18.81131
Price/Sales (TTM),1.78311
Price/Book (MRQ),1.52151
Price/Cash Flow (TTM),8.84314
5yr Low,50.58
5yr High,88.0
5yr Avg Return,-0.006616666666666667
EPS Growth 5yr,0.0285385
Revenue Growth 5yr,0.047805099999999996
Dividend Growth 5yr,
Short Int Current Month,1967533.0
Short Int Prev Month,2106567.0
Short Int Pct of Float,0.038641
Days to Cover,6.89878
Float,50.94579
Shares Outstanding,52.49984
Institutions Holding Shares,363.0
% Held by Institutions,0.86369
FCF Growth 5yr,0.48942438570098146
