,ZUO
% Above Low,0.2225
% Held by Institutions,0.7442
52-Wk Range,['6.14 - 20.43']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,4.0
Bid Size,200.0
Closing Price,7.5
Day Change $,-0.08
Day Change %,-0.0106
Day High,7.61
Day Low,7.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,0.579
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,989.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.58
Shares Outstanding,131.9M
Short Interest,0.0276
Today's Open,7.48
Volume,501129.0
Volume 10-day Avg,703230.0
Volume Past Day,(Light)
