,ZUO
Price/Earnings (TTM),
Price/Sales (TTM),2.68839
Price/Book (MRQ),5.19149
Price/Cash Flow (TTM),
5yr Low,6.14
5yr High,37.78
5yr Avg Return,-0.11291999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.251349
Dividend Growth 5yr,
Short Int Current Month,3387367.0
Short Int Prev Month,3609137.0
Short Int Pct of Float,0.027612199999999996
Days to Cover,3.18442
Float,122.6916
Shares Outstanding,131.9
Institutions Holding Shares,262.0
% Held by Institutions,0.7441540000000001
FCF Growth 5yr,1.8735903838048913
