,KMT
% Above Low,0.3261
% Held by Institutions,1.0518
52-Wk Range,['20.21 - 38.36']
Annual Dividend $,0.8
Annual Dividend %,0.029900000000000003
Ask,35.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.9
Bid,25.5
Bid Size,300.0
Closing Price,26.8
Day Change $,0.17
Day Change %,0.0064
Day High,26.85
Day Low,26.57
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.40700000000000003
Last (size),4700.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.35
Prev Close,26.63
Shares Outstanding,80.6M
Short Interest,0.0565
Today's Open,26.74
Volume,175837.0
Volume 10-day Avg,664887.0
Volume Past Day,(Light)
