,FOCS
% Above Low,0.2821
% Held by Institutions,0.9901000000000001
52-Wk Range,['30.27 - 67.28']
Annual Dividend $,
Annual Dividend %,
Ask,39.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,38.44
Bid Size,100.0
Closing Price,38.81
Day Change $,0.09
Day Change %,0.0023
Day High,39.06
Day Low,38.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.51
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",25.66
Prev Close,38.72
Shares Outstanding,65.9M
Short Interest,0.0385
Today's Open,38.78
Volume,83371.0
Volume 10-day Avg,335464.0
Volume Past Day,(Light)
