,ZETA
Price/Earnings (TTM),
Price/Sales (TTM),3.20063
Price/Book (MRQ),16.13739
Price/Cash Flow (TTM),
5yr Low,4.09
5yr High,13.46
5yr Avg Return,-0.03215
Short Int Current Month,8328793.0
Short Int Prev Month,9828546.0
Short Int Pct of Float,0.07355450000000001
Days to Cover,5.55967
Float,159.9215
Shares Outstanding,206.6215
Institutions Holding Shares,161.0
% Held by Institutions,0.574064
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
