,ZETA
% Above Low,1.0709
% Held by Institutions,0.5740999999999999
52-Wk Range,['4.09 - 13.46']
Annual Dividend $,
Annual Dividend %,
Ask,10.57
Ask Size,10200.0
B/A Ratio,0.00980392156862745
B/A Size,100x10200
Beta,
Bid,7.92
Bid Size,100.0
Closing Price,8.47
Day Change $,-0.06
Day Change %,-0.006999999999999999
Day High,8.54
Day Low,8.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.37
Ex-dividend Date,No dividend
Historical Volatility,0.868
Last (size),621.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.53
Shares Outstanding,206.6M
Short Interest,0.0736
Today's Open,8.45
Volume,630750.0
Volume 10-day Avg,870941.0
Volume Past Day,(Light)
