,JCI
% Below High,0.1825
% Held by Institutions,0.9638
52-Wk Range,['45.52 - 81.77']
Annual Dividend $,1.4
Annual Dividend %,0.0209
Ask,68.25
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,65.0
Bid Size,200.0
Closing Price,66.85
Day Change $,-0.1
Day Change %,-0.0015
Day High,67.31
Day Low,66.72
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,45.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.37
Prev Close,66.95
Shares Outstanding,686.7M
Short Interest,0.0118
Today's Open,67.12
Volume,1430975.0
Volume 10-day Avg,3712081.0
Volume Past Day,(Light)
