,CTIC
Price/Earnings (TTM),
Price/Sales (TTM),22.35562
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.6001
5yr High,7.8
5yr Avg Return,0.40728333333333333
Short Int Current Month,17055007.0
Short Int Prev Month,18193174.0
Short Int Pct of Float,0.1354311
Days to Cover,3.61771
Float,125.9111
Shares Outstanding,126.8942
Institutions Holding Shares,164.0
% Held by Institutions,0.7576930000000001
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
