,CTIC
% Below High,0.2577
% Held by Institutions,0.7576999999999999
52-Wk Range,['1.43 - 7.80']
Annual Dividend $,
Annual Dividend %,
Ask,5.8
Ask Size,4200.0
B/A Ratio,0.11904761904761904
B/A Size,500x4200
Beta,0.8
Bid,5.71
Bid Size,500.0
Closing Price,5.79
Day Change $,0.04
Day Change %,0.006999999999999999
Day High,5.85
Day Low,5.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,1.0690000000000002
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,735.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.75
Shares Outstanding,126.9M
Short Interest,0.1354
Today's Open,5.72
Volume,1000704.0
Volume 10-day Avg,3516046.0
Volume Past Day,(Light)
