,CCL
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.4713656387665198
Growth 1yr High Est,-0.34676258992805753
Growth 1yr Consensus Est,-0.4090641143472887
Growth 2yr Low Est,-0.7013078193832599
Growth 2yr High Est,-0.7857160967261433
Growth 2yr Consensus Est,-0.7435119580547016
Growth 5yr Low Est,-1.138568601634758
Growth 5yr High Est,-1.0450571224371457
Growth 5yr Consensus Est,-1.091812862035952
Growth 5yr Actual/Est,-1.0491403931659997
Growth 3yr Historic,-0.6881533710599974
