,CCL
% Above Low,0.5925
% Held by Institutions,0.4779
52-Wk Range,['6.11 - 23.86']
Annual Dividend $,
Annual Dividend %,
Ask,9.73
Ask Size,1900.0
B/A Ratio,0.2631578947368421
B/A Size,500x1900
Beta,2.1
Bid,9.7
Bid Size,500.0
Closing Price,9.73
Day Change $,0.0
Day Change %,0.0
Day High,9.93
Day Low,9.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.24
Ex-dividend Date,No dividend
Historical Volatility,0.802
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,12.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.73
Shares Outstanding,1.3B
Short Interest,0.11410000000000001
Today's Open,9.7
Volume,23780814.0
Volume 10-day Avg,62240861.0
Volume Past Day,(Light)
