,JWN
% Above Low,0.3594
% Held by Institutions,0.5558
52-Wk Range,['16.14 - 29.59']
Annual Dividend $,0.76
Annual Dividend %,0.034300000000000004
Ask,22.22
Ask Size,400.0
B/A Ratio,5.0
B/A Size,2000x400
Beta,2.2
Bid,21.91
Bid Size,2000.0
Closing Price,21.94
Day Change $,0.25
Day Change %,0.0115
Day High,22.2
Day Low,21.55
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.7070000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.5
Prev Close,21.69
Shares Outstanding,159.7M
Short Interest,0.2365
Today's Open,21.69
Volume,3903629.0
Volume 10-day Avg,6944459.0
Volume Past Day,(Light)
