,JWN
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-1.4691629955947136
Growth 1yr High Est,-1.6163069544364508
Growth 1yr Consensus Est,-1.5427349750155823
Growth 2yr Low Est,-0.8589946433372628
Growth 2yr High Est,-0.7283869402532448
Growth 2yr Consensus Est,-0.7936907917952538
Growth 5yr Low Est,-0.5726630955581752
Growth 5yr High Est,-0.4855912935021632
Growth 5yr Consensus Est,-0.5291271945301693
Growth 5yr Actual/Est,-0.7639225486042613
Growth 3yr Historic,-0.9305471984642053
