,CW
% Below High,0.0053
% Held by Institutions,0.8584999999999999
52-Wk Range,['123.84 - 180.28']
Annual Dividend $,0.76
Annual Dividend %,0.0042
Ask,212.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,112.76
Bid Size,100.0
Closing Price,179.33
Day Change $,1.28
Day Change %,0.0072
Day High,180.28
Day Low,178.38
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",6.74
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.29100000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.59
Prev Close,178.05
Shares Outstanding,38.3M
Short Interest,0.020099999999999996
Today's Open,178.88
Volume,31444.0
Volume 10-day Avg,176149.0
Volume Past Day,(Light)
