,CW
Price/Earnings (TTM),26.59266
Price/Sales (TTM),2.78564
Price/Book (MRQ),3.6484
Price/Cash Flow (TTM),18.36901
5yr Low,70.56
5yr High,179.79
5yr Avg Return,0.09071666666666667
EPS Growth 5yr,0.0937201
Revenue Growth 5yr,0.0350977
Dividend Growth 5yr,0.061253
Short Int Current Month,763678.0
Short Int Prev Month,904593.0
Short Int Pct of Float,0.020114
Days to Cover,3.19396
Float,37.96883
Shares Outstanding,38.30767
Institutions Holding Shares,443.0
% Held by Institutions,0.8584520000000001
FCF Growth 5yr,-0.7740122295830923
