,LAZ
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.22077922077922074
Growth 1yr High Est,0.09259259259259256
Growth 1yr Consensus Est,0.15668590668590665
Growth 2yr Low Est,-0.11833379386570875
Growth 2yr High Est,0.12135682898394762
Growth 2yr Consensus Est,0.0015115175591194352
Growth 5yr Low Est,-0.059166896932854374
Growth 5yr High Est,0.06067841449197381
Growth 5yr Consensus Est,0.0007557587795597176
Growth 5yr Actual/Est,0.0308845580460069
Growth 3yr Historic,0.12439024390243902
