,LAZ
Price/Earnings (TTM),7.51237
Price/Sales (TTM),1.32145
Price/Book (MRQ),5.7902
Price/Cash Flow (TTM),7.03994
5yr Low,20.94
5yr High,60.0
5yr Avg Return,-0.03196666666666667
EPS Growth 5yr,0.0964193
Revenue Growth 5yr,0.0655207
Dividend Growth 5yr,0.0475972
Short Int Current Month,4386335.0
Short Int Prev Month,5666833.0
Short Int Pct of Float,0.0404023
Days to Cover,4.72331
Float,108.9934
Shares Outstanding,112.7661
Institutions Holding Shares,283.0
% Held by Institutions,0.6435639999999999
FCF Growth 5yr,1.3514226134654324
