,LAZ
% Above Low,0.21670000000000003
% Held by Institutions,0.6436
52-Wk Range,['30.21 - 46.74']
Annual Dividend $,2.0
Annual Dividend %,0.054400000000000004
Ask,39.9
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.4
Bid,27.78
Bid Size,200.0
Closing Price,36.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",4.89
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.37700000000000006
Last (size),207.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,36.75
Shares Outstanding,85.9M
Short Interest,0.0404
Today's Open,
Volume,212911.0
Volume 10-day Avg,684604.0
Volume Past Day,(Light)
