,HIG
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.3046728971962618
Growth 1yr High Est,0.2914485165794065
Growth 1yr Consensus Est,0.29806070688783415
Growth 2yr Low Est,0.2361473368502799
Growth 2yr High Est,0.28085939342483834
Growth 2yr Consensus Est,0.2585033651375591
Growth 5yr Low Est,0.11807366842513994
Growth 5yr High Est,0.14042969671241917
Growth 5yr Consensus Est,0.12925168256877956
Growth 5yr Actual/Est,0.10819383642152813
Growth 3yr Historic,0.02175567259699296
