,HIG
Price/Earnings (TTM),13.23095
Price/Sales (TTM),1.09042
Price/Book (MRQ),1.92329
Price/Cash Flow (TTM),9.35216
5yr Low,19.04
5yr High,78.17
5yr Avg Return,0.077
EPS Growth 5yr,0.33644150000000006
Revenue Growth 5yr,0.06520909999999999
Dividend Growth 5yr,0.1078238
Short Int Current Month,2651787.0
Short Int Prev Month,2460344.0
Short Int Pct of Float,0.008370800000000001
Days to Cover,1.44588
Float,316.9112
Shares Outstanding,318.0989
Institutions Holding Shares,1034.0
% Held by Institutions,0.917193
FCF Growth 5yr,0.8479449064172228
