,HIG
% Below High,0.0016
% Held by Institutions,0.9172
52-Wk Range,['60.17 - 76.09']
Annual Dividend $,1.7
Annual Dividend %,0.022400000000000003
Ask,76.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,50.5
Bid Size,100.0
Closing Price,75.97
Day Change $,0.44
Day Change %,0.0058
Day High,76.09
Day Low,75.69
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.74
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.267
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,24.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.23
Prev Close,75.53
Shares Outstanding,318.1M
Short Interest,0.0084
Today's Open,75.97
Volume,481362.0
Volume 10-day Avg,1666124.0
Volume Past Day,(Light)
