,CLFD
Price/Earnings (TTM),36.85974
Price/Sales (TTM),6.67347
Price/Book (MRQ),12.24898
Price/Cash Flow (TTM),34.25353
5yr Low,8.32
5yr High,132.97
5yr Avg Return,0.6340666666666667
EPS Growth 5yr,0.6599307
Revenue Growth 5yr,0.296497
Dividend Growth 5yr,
Short Int Current Month,943413.0
Short Int Prev Month,971812.0
Short Int Pct of Float,0.08164690000000001
Days to Cover,3.12291
Float,11.52488
Shares Outstanding,13.81845
Institutions Holding Shares,250.0
% Held by Institutions,0.597947
FCF Growth 5yr,2.0788121148600163
