,CLFD
% Below High,0.0302
% Held by Institutions,0.5979
52-Wk Range,['44.15 - 134.90']
Annual Dividend $,
Annual Dividend %,
Ask,133.97
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,131.0
Bid Size,100.0
Closing Price,130.82
Day Change $,1.32
Day Change %,0.0102
Day High,134.9
Day Low,128.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.55
Ex-dividend Date,No dividend
Historical Volatility,0.74
Last (size),58.0
Last (time),12:59p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.86
Prev Close,129.5
Shares Outstanding,13.8M
Short Interest,0.0816
Today's Open,129.5
Volume,178371.0
Volume 10-day Avg,413533.0
Volume Past Day,(Light)
