,CBOE
% Below High,0.053899999999999997
% Held by Institutions,0.8256999999999999
52-Wk Range,['103.82 - 133.02']
Annual Dividend $,2.0
Annual Dividend %,0.0159
Ask,135.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,117.55
Bid Size,100.0
Closing Price,125.85
Day Change $,1.01
Day Change %,0.008100000000000001
Day High,127.0
Day Low,124.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.23
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.257
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",56.31
Prev Close,124.84
Shares Outstanding,106.1M
Short Interest,0.0255
Today's Open,125.25
Volume,214088.0
Volume 10-day Avg,948891.0
Volume Past Day,(Light)
