,CBOE
Price/Earnings (TTM),56.31326
Price/Sales (TTM),3.4947
Price/Book (MRQ),4.0532
Price/Cash Flow (TTM),32.93965
5yr Low,72.01
5yr High,139.0
5yr Avg Return,0.03575
EPS Growth 5yr,0.16714009999999999
Revenue Growth 5yr,0.3969425
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,2819404.0
Short Int Prev Month,2549419.0
Short Int Pct of Float,0.025459299999999997
Days to Cover,4.29083
Float,105.5794
Shares Outstanding,106.0822
Institutions Holding Shares,783.0
% Held by Institutions,0.8257059999999999
FCF Growth 5yr,0.345223994453826
