,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 9/2020,Positive Surprise,2.02,,,,,,,1.59,2.02,,
Year ending 9/2021,Negative Surprise,2.29,,0.13366336633663356,,,,,2.46,2.29,0.13366336633663356,
Year ending 9/2022,Negative Surprise,3.53,,0.5414847161572052,,,,,3.8,3.53,0.5414847161572052,
Year ending 9/2023,Neutral,,4.14,0.0,2.98,,4.99,,4.14,4.14,0.17280453257790374,
Year ending 9/2024,Neutral,,5.35,0.0,4.67,0.5671140939597314,6.33,0.26853707414829664,5.35,5.35,0.29227053140096615,0.41782558405401404
