,DIS
% Above Low,0.1459
% Held by Institutions,0.6217
52-Wk Range,['86.28 - 160.32']
Annual Dividend $,
Annual Dividend %,
Ask,98.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,98.74
Bid Size,100.0
Closing Price,98.87
Day Change $,-0.01
Day Change %,-0.0001
Day High,99.81
Day Low,98.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.75
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,176.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",56.56
Prev Close,98.88
Shares Outstanding,1.8B
Short Interest,0.0111
Today's Open,98.81
Volume,6664281.0
Volume 10-day Avg,22481783.0
Volume Past Day,(Light)
