,DIS
Price/Earnings (TTM),56.5592
Price/Sales (TTM),2.17893
Price/Book (MRQ),1.8534
Price/Cash Flow (TTM),21.91704
5yr Low,79.07
5yr High,203.02
5yr Avg Return,0.020666666666666663
EPS Growth 5yr,-0.2103076
Revenue Growth 5yr,0.08451499999999999
Dividend Growth 5yr,
Short Int Current Month,20233137.0
Short Int Prev Month,16342777.0
Short Int Pct of Float,0.0111113
Days to Cover,0.95225
Float,1805.248
Shares Outstanding,1823.058
Institutions Holding Shares,3828.0
% Held by Institutions,0.6216539999999999
FCF Growth 5yr,-1.8034876043707426
