,SPGI
Price/Earnings (TTM),29.92556
Price/Sales (TTM),11.2871
Price/Book (MRQ),3.48598
Price/Cash Flow (TTM),25.66177
5yr Low,156.68
5yr High,484.21
5yr Avg Return,0.16638333333333333
EPS Growth 5yr,0.09508559999999999
Revenue Growth 5yr,0.0794576
Dividend Growth 5yr,0.16422689999999998
Short Int Current Month,4519918.0
Short Int Prev Month,3925150.0
Short Int Pct of Float,0.013900999999999998
Days to Cover,2.72118
Float,325.176
Shares Outstanding,325.8
Institutions Holding Shares,2099.0
% Held by Institutions,0.88143
FCF Growth 5yr,0.7973501445010437
