,SPGI
% Above Low,0.2576
% Held by Institutions,0.8814
52-Wk Range,['279.32 - 484.21']
Annual Dividend $,3.4
Annual Dividend %,0.0095
Ask,351.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,351.26
Bid Size,300.0
Day Change $,-6.63
Day Change %,-0.018500000000000003
Day High,357.34
Day Low,351.28
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",11.96
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.303
Last (size),100.0
Last (time),3:00p ET 11/28/22
Market Cap,114.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.93
Prev Close,357.91
Price,351.28
Shares Outstanding,325.8M
Short Interest,0.0139
Today's Open,354.46
Volume Past Day,(Average)
