,SPGI
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.18823529411764706
Growth 1yr High Est,-0.19047619047619035
Growth 1yr Consensus Est,-0.1893557422969187
Growth 2yr Low Est,-0.09592924126172203
Growth 2yr High Est,0.009931245225362872
Growth 2yr Consensus Est,-0.04299899801817958
Growth 5yr Low Est,0.05541367187382559
Growth 5yr High Est,0.10609228799641893
Growth 5yr Consensus Est,0.08075297993512226
Growth 5yr Actual/Est,0.09101257922981881
Growth 3yr Historic,0.09964862659630519
