,PSFE
Price/Earnings (TTM),
Price/Sales (TTM),0.70079
Price/Book (MRQ),1.37028
Price/Cash Flow (TTM),
5yr Low,1.16
5yr High,19.57
5yr Avg Return,-0.2748333333333334
Short Int Current Month,15910733.0
Short Int Prev Month,18286924.0
Short Int Pct of Float,0.0313995
Days to Cover,2.37565
Float,527.549
Shares Outstanding,727.364
Institutions Holding Shares,214.0
% Held by Institutions,0.612078
FCF Growth 5yr,1.396222127031722
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
