,PSFE
% Above Low,0.21550000000000002
% Held by Institutions,0.6121
52-Wk Range,['1.16 - 4.39']
Annual Dividend $,
Annual Dividend %,
Ask,1.41
Ask Size,2300.0
B/A Ratio,4.217391304347826
B/A Size,9700x2300
Beta,
Bid,1.4
Bid Size,9700.0
Day Change $,-0.02
Day Change %,-0.013999999999999999
Day High,1.45
Day Low,1.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.4
Ex-dividend Date,No dividend
Historical Volatility,0.8370000000000001
Last (size),100.0
Last (time),11:42a ET 11/28/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,1.43
Price,1.41
Shares Outstanding,727.4M
Short Interest,0.031400000000000004
Today's Open,1.4
Volume Past Day,(Light)
