,VTRS
Price/Earnings (TTM),16.88595
Price/Sales (TTM),0.80757
Price/Book (MRQ),0.70424
Price/Cash Flow (TTM),3.64015
5yr Low,8.42
5yr High,47.82
5yr Avg Return,-0.1644
EPS Growth 5yr,
Revenue Growth 5yr,0.1005771
Dividend Growth 5yr,
Short Int Current Month,20063698.0
Short Int Prev Month,21903959.0
Short Int Pct of Float,0.0165901
Days to Cover,1.78039
Float,1209.221
Shares Outstanding,1212.685
Institutions Holding Shares,1281.0
% Held by Institutions,0.746727
FCF Growth 5yr,0.1722336609647845
