,VTRS
% Above Low,0.3135
% Held by Institutions,0.7467
52-Wk Range,['8.42 - 15.60']
Annual Dividend $,0.48
Annual Dividend %,0.0431
Ask,11.06
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,1.2
Bid,10.92
Bid Size,200.0
Closing Price,11.06
Day Change $,-0.08
Day Change %,-0.0072
Day High,11.17
Day Low,10.98
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",0.66
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.44799999999999995
Last (size),10.0
Last (time),3:59p ET 11/28/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",16.89
Prev Close,11.14
Shares Outstanding,1.2B
Short Interest,0.0166
Today's Open,11.12
Volume,19132957.0
Volume 10-day Avg,10006121.0
Volume Past Day,(Heavy Day)
