,JLL
% Above Low,0.212
% Held by Institutions,0.9709
52-Wk Range,['135.35 - 275.77']
Annual Dividend $,
Annual Dividend %,
Ask,164.73
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,164.05
Day Change $,1.53
Day Change %,0.009399999999999999
Day High,164.68
Day Low,161.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",17.79
Ex-dividend Date,No dividend
Historical Volatility,0.419
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.22
Prev Close,162.52
Shares Outstanding,47.5M
Short Interest,0.022400000000000003
Today's Open,161.52
Volume,75664.0
Volume 10-day Avg,360773.0
Volume Past Day,(Light)
