,JLL
Price/Earnings (TTM),9.22219
Price/Sales (TTM),0.36722
Price/Book (MRQ),1.35059
Price/Cash Flow (TTM),6.17465
5yr Low,78.29
5yr High,275.77
5yr Avg Return,0.07823333333333334
EPS Growth 5yr,0.20619379999999998
Revenue Growth 5yr,0.0831351
Dividend Growth 5yr,
Short Int Current Month,1051835.0
Short Int Prev Month,1316764.0
Short Int Pct of Float,0.0223557
Days to Cover,1.87033
Float,47.14547
Shares Outstanding,47.46256
Institutions Holding Shares,562.0
% Held by Institutions,0.970878
FCF Growth 5yr,-0.7595573946678695
