,CCSI
% Below High,0.1507
% Held by Institutions,0.9612999999999999
52-Wk Range,['37.75 - 65.68']
Annual Dividend $,
Annual Dividend %,
Ask,90.44
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,40.0
Bid Size,300.0
Closing Price,55.78
Day Change $,-1.96
Day Change %,-0.0339
Day High,57.74
Day Low,55.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.89
Ex-dividend Date,No dividend
Historical Volatility,0.516
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",14.36
Prev Close,57.74
Shares Outstanding,19.8M
Short Interest,0.018500000000000003
Today's Open,57.74
Volume,20153.0
Volume 10-day Avg,84512.0
Volume Past Day,(Light)
