,CCSI
Price/Earnings (TTM),14.35513
Price/Sales (TTM),10.65785
Price/Book (MRQ),
Price/Cash Flow (TTM),21.31343
5yr Low,34.81
5yr High,69.31
5yr Avg Return,0.31079999999999997
Short Int Current Month,325869.0
Short Int Prev Month,387719.0
Short Int Pct of Float,0.018455600000000003
Days to Cover,4.32847
Float,17.69319
Shares Outstanding,19.82784
Institutions Holding Shares,248.0
% Held by Institutions,0.9613320000000001
FCF Growth 5yr,-0.03430555174570393
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
