,RH
Price/Earnings (TTM),12.41468
Price/Sales (TTM),1.7048
Price/Book (MRQ),5.38771
Price/Cash Flow (TTM),8.61852
5yr Low,73.14
5yr High,744.56
5yr Avg Return,0.3044
EPS Growth 5yr,1.7854929999999998
Revenue Growth 5yr,0.1197884
Dividend Growth 5yr,
Short Int Current Month,2671572.0
Short Int Prev Month,2784198.0
Short Int Pct of Float,0.1304964
Days to Cover,3.78425
Float,20.47354
Shares Outstanding,23.72573
Institutions Holding Shares,500.0
% Held by Institutions,0.87385
FCF Growth 5yr,-0.10182163759876779
