,RH
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.27490849938999595
Growth 1yr High Est,0.030681818181818254
Growth 1yr Consensus Est,-0.12211334060408885
Growth 2yr Low Est,-0.26336563500066257
Growth 2yr High Est,-0.0278417443453276
Growth 2yr Consensus Est,-0.14560368967299508
Growth 5yr Low Est,0.10086477815987271
Growth 5yr High Est,0.24163591168600684
Growth 5yr Consensus Est,0.17125034492293978
Growth 5yr Actual/Est,0.19055687923880288
Growth 3yr Historic,0.24852655968461423
